Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,1.018,10,0.003,2.303,-5.750
10,1,20,0.956,20,7.958E-4,2.996,-7.136
20,1,30,0.998,30,3.537E-4,3.401,-7.947
30,1,40,1.032,40,1.989E-4,3.689,-8.522
40,1,50,1.032,50,1.273E-4,3.912,-8.969
50,1,60,1.007,60,8.842E-5,4.094,-9.333
60,1,70,0.978,70,6.496E-5,4.248,-9.642
70,1,80,0.964,80,4.974E-5,4.382,-9.909
80,1,90,0.970,90,3.930E-5,4.500,-10.144
90,1,100,0.992,100,3.183E-5,4.605,-10.355
100,1,110,1.017,110,2.631E-5,4.700,-10.546
110,1,120,1.033,120,2.210E-5,4.787,-10.720
120,1,130,1.032,130,1.883E-5,4.868,-10.880
130,1,140,1.013,140,1.624E-5,4.942,-11.028
140,1,150,0.991,150,1.415E-5,5.011,-11.166
150,1,160,0.990,160,1.243E-5,5.075,-11.295
160,1,170,1.044,170,1.101E-5,5.136,-11.416
170,1,180,1.189,180,9.824E-6,5.193,-11.531
180,1,190,1.456,190,1.763E-5,5.247,-10.946
190,2,200,1.864,200,1.592E-5,5.298,-11.048
200,2,210,2.404,210,1.444E-5,5.347,-11.146
210,2,220,3.039,220,1.973E-5,5.394,-10.833
220,3,230,3.695,230,1.805E-5,5.438,-10.922
230,3,240,4.263,240,2.763E-5,5.481,-10.497
240,5,250,4.614,250,2.546E-5,5.521,-10.578
250,5,260,4.614,260,1.883E-5,5.561,-10.880
260,4,270,4.171,270,2.183E-5,5.598,-10.732
270,5,280,3.287,280,8.120E-6,5.635,-11.721
280,2,290,2.140,290,1.135E-5,5.670,-11.386
290,3,300,1.195,300,3.537E-6,5.704,-12.552
300,1,NaN,NaN,NaN,NaN,NaN,NaN
